target,split,label,accuracy,precision,recall,f1,macro_f1,weighted_f1,support
final_respect_level,val,__overall__,0.6785714285714286,,,0.6423240681510217,0.6423240681510217,0.6902917331167625,224
final_respect_level,val,high_respect,,0.6122448979591837,0.6976744186046512,0.6521739130434783,,,43
final_respect_level,val,low_respect,,0.43333333333333335,0.6842105263157895,0.5306122448979592,,,38
final_respect_level,val,neutral_respect,,0.8347826086956521,0.6713286713286714,0.7441860465116279,,,143
final_respect_level,test,__overall__,0.6466666666666666,,,0.5610252369821254,0.5610252369821254,0.6706394766587298,300
final_respect_level,test,high_respect,,0.4666666666666667,0.5957446808510638,0.5233644859813084,,,47
final_respect_level,test,low_respect,,0.3150684931506849,0.575,0.40707964601769914,,,40
final_respect_level,test,neutral_respect,,0.8562874251497006,0.6713615023474179,0.7526315789473684,,,213
